Date,Close,High,Low,Open,Volume
2024-10-09,1965.653564453125,1975.9449443717276,1934.7794246973165,1965.6535644531248,49286700.0
2024-10-10,1965.653564453125,1991.3820142496318,1965.6535644531248,1970.799254412426,57294900.0
2024-10-11,1991.3818359375,2001.673214934593,1981.090456940407,1991.3818359375,26344700.0
2024-10-14,1991.3818359375,2011.964593931686,1986.2361464389535,1991.3818359375,43032900.0
2024-10-15,1996.5277099609375,2017.110469857442,1981.090640038559,1991.3820199868114,52135200.0
2024-10-16,1981.090576171875,2006.819025213068,1970.7991965553977,2006.819025213068,106113000.0
2024-10-17,2006.81884765625,2011.9645370092148,1970.799022185497,1986.236090244391,41860900.0
2024-10-18,1945.0706787109375,2011.96464385179,1919.3422305798406,2006.8189542255707,89683900.0
2024-10-21,1924.48779296875,1955.3619286848261,1903.905035824699,1950.2162393988133,67414900.0
2024-10-22,1919.3424072265625,1939.9251676257747,1903.905336927153,1924.4880973263655,54862400.0
2024-10-23,1898.75927734375,1924.4877228362127,1893.6135882452575,1919.3420337377202,44721100.0
2024-10-24,1893.61376953125,1909.0508383046026,1888.4680799401324,1898.7594591223674,34075500.0
2024-10-25,1883.3223876953125,1909.0508356146472,1847.3025606082435,1903.9051460307803,77709700.0
2024-10-28,1893.61376953125,1919.3422174868376,1878.1767007578974,1898.7594591223674,39595900.0
2024-10-29,1867.8853759765625,1903.9052041634382,1862.7396862355802,1903.9052041634382,20534800.0
2024-10-30,1873.0311279296875,1888.468197665372,1842.1569884583191,1867.885438017793,36350000.0
2024-10-31,1862.7396240234375,1893.6137614381905,1862.7396240234375,1873.0310031616884,53507800.0
2024-11-01,1950.216552734375,1970.7993131853973,1862.7398208175296,1862.7398208175296,146059200.0
2024-11-04,2022.2559814453125,2027.4016709655298,1975.9447757633588,1975.9447757633588,141050500.0
2024-11-05,2078.858642578125,2212.646575021272,2063.42157345007,2089.150021996829,438639700.0
2024-11-06,2063.421630859375,2114.8785293845463,2047.9845613018235,2089.150080121961,113133700.0
2024-11-07,2017.110595703125,2058.276118064413,2001.6735248176417,2053.130427769252,96971400.0
2024-11-08,1970.7989501953125,2017.11015268032,1960.507571865311,2017.11015268032,90924600.0
2024-11-11,1924.48779296875,1986.2360644009023,1919.3421036827372,1970.7989965428642,99455600.0
2024-11-12,1965.653564453125,2006.8190841275357,1950.2164945752206,1955.3621845345222,85754000.0
2024-11-13,2017.110595703125,2063.4218083595742,1991.3821442273197,2032.5476665886079,144865000.0
2024-11-14,1970.7989501953125,2032.5472201753225,1970.7989501953127,2027.4015310103216,84790900.0
2024-11-15,2017.110595703125,2027.401976293447,1950.2166218660313,1970.7993830466755,83361300.0
2024-11-18,1903.9053955078125,2017.1105811866555,1888.4683247334249,2017.1105811866555,256319600.0
2024-11-19,1909.05078125,1955.3619861859838,1888.468023500674,1914.1964706873316,107023300.0
2024-11-20,1898.75927734375,1929.6334119347052,1883.3222100482724,1909.050655540735,80247300.0
2024-11-21,1893.61376953125,1909.0508383046026,1883.322390349015,1903.905148713485,80544200.0
2024-11-22,1929.6336669921875,1929.6336669921875,1873.0310794270833,1893.6138385416666,154094300.0
2024-11-25,1939.9249267578125,1960.5076846013967,1919.3421689142283,1934.7792372969166,192437100.0
2024-11-26,1888.46826171875,1965.6536130151567,1888.46826171875,1945.0708526694482,283961800.0
2024-11-27,1888.46826171875,1965.6536130151567,1888.46826171875,1945.0708526694482,283961800.0
2024-11-28,2254.5751953125,2254.5751953125,2254.5751953125,2254.5751953125,20071600.0
2024-11-29,1699.1002197265625,1805.2939834594727,1690.9314686701848,1690.9314686701848,1047877300.0
2024-12-02,1886.9814453125,1944.1627012310605,1707.2689267113094,1707.2689267113094,517878000.0
2024-12-03,1927.8251953125,1985.0064511056673,1862.4751886917372,1903.318942829714,258567000.0
2024-12-04,1927.8251953125,1944.1626969676906,1878.812690346928,1935.9939461400954,135756100.0
2024-12-05,1911.48779296875,1976.8378029847754,1878.812787960737,1952.3315492287659,179016300.0
2024-12-06,1878.8126220703125,1911.4876241932745,1870.643871539572,1911.4876241932745,152806600.0
2024-12-09,2189.22509765625,2205.562598385028,1886.9813341738572,1886.9813341738572,509279500.0
2024-12-10,2230.069091796875,2352.600360576923,2140.21282802484,2205.5628380408652,360677800.0
2024-12-11,2132.043701171875,2262.74369817858,2132.043701171875,2230.068698926904,159744000.0
2024-12-12,2066.69384765625,2172.88760267416,2050.356346884264,2132.0438507441945,120595500.0
2024-12-13,2107.537841796875,2148.3815984208454,2074.8628364976985,2083.031587822493,110671800.0
2024-12-16,2123.875244140625,2172.8877497746394,2025.850232872596,2107.53774226262,137736700.0
2024-12-17,2050.3564453125,2172.8877069845616,2050.3564453125,2164.718956206424,94626300.0
2024-12-18,2115.70654296875,2148.3815474933635,2074.8627873129826,2115.70654296875,91709300.0
2024-12-19,2074.862548828125,2107.5375495970716,2058.5250484436515,2099.368799404835,57029200.0
2024-12-20,2083.031494140625,2107.537747012868,2050.356490310968,2074.862743183211,65183500.0
